,,,,,,,,,,,,FINANZAS EMPOWER DEMO,,,,,,,,,,,
Estatus,Nombre del Plan,Moneda del Plan,Clave de asesor,Nombre del Asesor,Número de Póliza,Fecha de emisión,Método de pago,Tipo de Seguro,Forma de pago,Contratante,Persona asegurada principal,Información adicional - Próximo cumpleaños,Suma asegurada (convertida),Suma asegurada,Prima anual emitido (convertido),Prima anual emitido,Deducible (convertido),Información adicional - Email de preferencia,Información adicional - Teléfono de preferencia,Información adicional - Estado Civil,Información adicional - Fecha de nacimiento,Días para vencimiento,Fecha terminación de contrato,Clasificación del plan
En Vigor,PLAN DEMO VIDA,MXN,00000,MAGGIE HERNANDEZ,DEMO000001,05-09-2024,MODO DIRECTO,VIDA INDIVIDUAL,MENSUAL,ANA LOPEZ,ANA LOPEZ,12/08,0,0,12000,12000,,cliente1@example.com,5500000001,Soltero,12-08-1985,365,05-09-2044,DEMO
En Vigor,PLAN DEMO VIDA,MXN,00000,MAGGIE HERNANDEZ,DEMO000002,13-09-2023,AGENTE,VIDA INDIVIDUAL,TRIMESTRAL,CARLOS MARTINEZ,CARLOS MARTINEZ,15/09,0,0,18000,18000,,cliente2@example.com,5500000002,Casado,15-09-1980,365,13-09-2043,DEMO
En Vigor,PLAN DEMO VIDA,USD,00000,MAGGIE HERNANDEZ,DEMO000003,20-09-2022,CARGO AUTOMATICO A TARJ CRED,VIDA INDIVIDUAL,SEMESTRAL,SOFIA HERNANDEZ,SOFIA HERNANDEZ,20/01,0,0,24000,1200,,cliente3@example.com,5500000003,Soltero,20-01-1978,365,20-09-2042,DEMO
En Vigor,PLAN DEMO VIDA,USD,00000,MAGGIE HERNANDEZ,DEMO000004,28-09-2021,TDD,VIDA INDIVIDUAL,ANUAL,JUAN PEREZ,JUAN PEREZ,28/02,0,0,36000,1800,,cliente4@example.com,5500000004,Casado,28-02-1975,365,28-09-2041,DEMO
En Vigor,PLAN DEMO VIDA,MXN,00000,MAGGIE HERNANDEZ,DEMO000005,12-08-2020,MODO DIRECTO,VIDA INDIVIDUAL,MENSUAL,LAURA GARCIA,LAURA GARCIA,12/08,0,0,9500,9500,,cliente5@example.com,5500000005,Soltero,12-08-1990,365,12-08-2040,DEMO
En Vigor,PLAN DEMO VIDA,MXN,00000,MAGGIE HERNANDEZ,DEMO000006,15-08-2020,AGENTE,VIDA INDIVIDUAL,MENSUAL,MIGUEL RAMIREZ,MIGUEL RAMIREZ,03/03,0,0,11200,11200,,cliente6@example.com,5500000006,Casado,03-03-1982,365,15-08-2040,DEMO
En Vigor,PLAN DEMO VIDA,MXN,00000,MAGGIE HERNANDEZ,DEMO000007,01-09-2019,MODO DIRECTO,VIDA INDIVIDUAL,ANUAL,PATRICIA TORRES,PATRICIA TORRES,10/04,0,0,42000,42000,,cliente7@example.com,5500000007,Soltero,10-04-1984,365,01-09-2039,DEMO
En Vigor,PLAN DEMO VIDA,USD,00000,MAGGIE HERNANDEZ,DEMO000008,10-09-2019,TDD,VIDA INDIVIDUAL,SEMESTRAL,DANIELA FLORES,DANIELA FLORES,25/05,0,0,30000,1500,,cliente8@example.com,5500000008,Casado,25-05-1981,365,10-09-2039,DEMO
Anulada,PLAN DEMO VIDA,MXN,00000,MAGGIE HERNANDEZ,DEMO000009,12-08-2018,MODO DIRECTO,VIDA INDIVIDUAL,MENSUAL,ROBERTO NAVA,ROBERTO NAVA,12/08,0,0,8000,8000,,cliente9@example.com,5500000009,Soltero,12-08-1979,365,12-08-2038,DEMO
En Vigor sin Pago de Primas,PLAN DEMO VIDA,MXN,00000,MAGGIE HERNANDEZ,DEMO000010,12-08-2018,AGENTE,VIDA INDIVIDUAL,MENSUAL,ELENA CASTILLO,ELENA CASTILLO,12/08,0,0,8000,8000,,cliente10@example.com,5500000010,Casado,12-08-1977,365,12-08-2038,DEMO
